Income,Age,Years_of_Experience,Married/Single,Years_in_Current_Job,Years_in_Current_House,Owns_a_Car,Owns_a_House,Renting_a_House,Defaulted
4916345,73,8,1,8,12,1,0,1,1
5197016,28,6,1,6,11,1,0,1,0
8693161,53,5,0,3,10,1,0,1,1
1020861,42,17,1,7,14,0,0,1,1
428758,47,0,1,0,11,1,0,1,1
8839194,25,3,1,3,13,0,0,1,0
7269421,71,20,1,6,14,0,0,1,1
6258651,24,18,1,4,11,0,0,1,0
9879189,61,8,0,8,13,1,0,1,0
4363465,57,1,1,1,13,0,0,1,1
5357215,52,8,1,8,11,1,0,1,0
7961910,45,19,0,14,13,0,0,1,1
291391,33,8,1,6,13,0,0,1,1
7479878,55,8,0,8,14,0,0,1,0
103611,41,16,0,10,14,0,0,1,0
9423566,49,7,1,3,14,1,0,1,1
8381715,72,0,1,0,10,1,0,1,1
6710324,25,0,1,0,10,1,0,1,1
1259577,66,15,1,3,10,0,0,1,0
4479372,22,14,1,5,13,0,0,1,0
1514602,71,6,1,6,13,0,0,1,0
9675070,56,19,1,3,10,1,0,1,1
3546473,39,5,1,3,10,1,0,1,0
2826004,79,19,1,8,14,0,0,1,0
9777621,61,11,1,11,11,0,0,1,0
5628436,48,13,1,10,10,0,0,1,1
6876255,68,5,1,5,11,0,0,1,0
4527248,47,6,1,6,13,1,0,1,0
6440066,74,15,1,8,11,0,0,1,0
5958469,32,17,1,13,12,0,0,1,0
1258437,36,19,1,11,11,0,0,1,0
271512,54,5,1,5,14,1,1,0,0
3734522,47,1,1,1,10,0,0,1,1
7226673,23,6,1,5,10,0,0,1,0
5859492,59,18,1,7,10,0,0,1,1
6002096,32,14,1,3,13,0,0,1,1
8688966,52,5,1,5,13,0,0,1,1
80183,72,4,1,4,13,1,0,1,1
315735,37,3,1,3,10,0,0,1,0
4936805,31,3,1,3,12,1,0,1,0
3371958,23,15,1,4,12,0,0,1,1
5370658,56,11,1,11,13,1,0,1,0
1405716,51,0,1,0,13,1,0,1,0
772990,72,15,1,4,11,1,0,1,0
6533070,43,16,1,6,13,1,0,1,0
6945276,26,16,0,6,10,1,0,1,1
1576494,36,5,1,5,14,1,0,1,1
2062048,50,3,1,3,11,1,0,1,1
2364798,68,5,1,5,10,0,0,1,0
4627494,55,14,1,7,11,0,0,1,1
3472273,78,1,1,1,12,0,0,1,0
9226716,55,3,1,3,11,0,0,1,0
3745099,27,10,1,10,11,0,0,1,1
1407072,37,17,1,3,13,0,0,1,0
5593419,30,1,1,1,10,0,0,1,1
9717965,69,14,1,12,13,1,0,1,0
7719393,43,5,1,5,11,0,1,0,1
1203479,79,20,1,3,13,0,0,1,1
5560320,34,16,1,8,11,0,0,1,1
7908068,23,1,1,1,10,0,0,1,0
9362365,23,19,1,11,13,1,0,1,0
7382051,34,7,1,7,14,0,0,1,1
6045469,63,7,1,7,10,0,0,1,0
4639924,48,12,1,6,14,1,0,1,1
2539865,30,4,1,4,10,0,0,1,1
8714337,53,1,1,1,11,0,0,1,0
1303701,34,20,1,3,13,0,0,1,1
2471915,73,18,1,14,13,0,0,1,0
5384780,55,12,1,5,12,1,0,1,1
2745694,36,11,1,9,13,0,0,1,0
6204008,42,5,1,5,10,0,0,1,0
2317886,39,15,1,3,13,1,0,1,0
5953603,29,11,1,7,10,1,0,1,1
3453372,47,2,1,2,10,0,0,1,1
133305,28,6,1,6,12,0,0,1,1
1853650,56,15,1,6,10,0,0,1,0
1816526,30,13,1,12,11,1,0,1,1
1916815,53,8,1,8,14,0,0,1,0
9869951,24,9,1,4,12,1,0,1,1
2822951,45,8,1,8,14,1,0,1,0
3955000,76,2,1,2,10,1,0,1,1
9677982,32,15,1,6,14,0,0,1,0
5406764,27,15,0,5,12,0,0,1,0
4976661,22,9,1,8,12,0,0,1,0
4872099,36,1,1,1,10,1,0,1,0
4126991,66,3,1,3,12,0,0,1,0
8354402,60,4,1,4,12,0,0,1,0
5924444,33,1,1,1,12,0,0,1,1
759604,26,18,1,10,11,0,0,1,1
5784299,47,7,1,7,12,0,0,1,1
8425571,73,15,1,8,14,0,0,1,0
853458,78,19,1,12,12,0,1,0,0
9368529,59,7,1,7,10,0,0,1,1
135240,29,19,1,6,13,0,0,1,1
8454024,56,7,1,5,12,0,0,1,0
6466990,37,13,1,6,14,0,0,1,0
431500,51,10,1,10,11,1,0,1,1
6626413,76,20,1,10,13,0,0,1,0
447434,23,11,1,11,12,0,0,1,0
2605652,55,20,1,9,14,0,1,0,0
659529,60,10,1,8,10,0,0,1,0
7469378,62,0,1,0,10,1,0,1,0
9775375,42,14,1,11,14,0,0,1,0
7296341,60,13,1,4,13,0,0,1,0
3319389,35,5,1,5,11,1,0,1,0
5671193,30,20,1,11,14,0,0,1,1
2559472,39,10,1,10,10,1,0,1,0
4688134,44,12,1,12,14,0,0,1,1
1052130,29,16,1,3,14,0,0,1,0
9225199,45,7,1,7,14,0,0,1,1
3643652,56,2,1,2,10,0,0,1,1
1085710,72,12,1,9,10,0,0,1,1
9846056,28,12,1,12,13,0,0,1,0
3209350,57,5,1,5,13,1,0,1,0
2909945,59,10,1,8,14,0,0,1,0
1325345,66,8,1,8,14,0,0,1,1
3831829,34,6,1,6,13,0,0,1,1
8254699,41,15,1,5,13,0,0,1,0
9866029,47,13,1,12,12,1,0,1,1
5824731,61,7,1,6,14,1,0,1,0
7225730,72,5,1,5,11,0,0,1,1
5069739,40,1,1,1,11,0,0,1,0
7802075,53,18,1,7,12,0,0,1,0
8021921,73,4,1,4,10,0,0,1,0
1100548,49,3,1,3,10,1,0,1,1
8981043,57,8,1,8,12,1,0,1,1
7603328,45,0,1,0,13,0,0,1,0
5474047,34,3,1,3,12,0,0,1,1
9811019,39,13,1,9,11,0,0,1,0
7252267,30,0,1,0,14,0,0,1,1
2447204,33,12,1,12,12,1,0,1,0
7210569,54,17,1,10,11,0,0,1,0
9867211,56,2,1,2,14,0,0,1,1
358155,26,3,1,3,14,0,0,1,0
2135335,26,4,1,4,11,0,0,1,0
9624827,58,20,1,9,12,0,0,1,0
9530702,57,12,1,8,11,0,0,1,0
3692913,55,6,1,6,11,0,0,1,1
2806521,36,7,1,5,13,0,0,1,0
5563521,26,4,1,4,13,0,0,1,1
6144858,61,20,1,8,11,0,0,1,0
8692016,22,10,1,8,13,1,0,1,0
52436,37,19,0,10,14,1,0,1,1
1038909,58,19,1,4,11,1,0,1,1
342772,53,16,1,14,10,0,0,1,0
5881185,47,4,1,4,13,0,0,1,0
714169,44,0,1,0,11,1,0,1,0
305527,60,14,1,14,14,0,0,1,0
6170682,38,4,1,4,11,0,0,1,1
2949086,42,1,1,1,10,0,0,1,0
5187612,39,6,1,6,12,0,0,1,0
316356,57,10,1,10,13,0,0,1,0
9328308,53,4,1,4,13,0,0,1,1
1700810,79,1,1,1,12,0,0,1,0
7453204,59,13,1,8,10,0,0,1,0
1131868,46,10,1,10,12,0,0,1,1
4872825,76,6,1,6,10,1,0,1,1
2663598,63,15,1,11,12,0,0,1,0
3148579,45,9,1,9,10,0,0,1,1
6686452,34,4,1,4,12,0,0,1,0
3110630,23,1,1,1,13,0,0,1,1
1406855,42,4,1,4,12,0,0,1,0
3602416,48,3,1,3,13,0,0,1,1
8077810,75,16,1,9,14,0,0,1,1
5921362,26,19,1,11,11,0,0,1,1
7156599,22,0,1,0,12,0,0,1,0
1659351,37,12,0,12,11,1,0,1,0
1357022,60,17,1,11,13,1,0,1,1
3323452,76,18,1,14,13,1,0,1,0
7968822,24,13,1,3,13,0,0,1,0
8047392,61,2,1,2,14,0,0,1,1
8076327,22,12,1,7,11,0,0,1,1
432951,45,1,1,1,11,1,0,1,1
8886565,68,14,1,5,14,0,0,1,0
5579035,30,4,0,4,13,0,0,1,1
5725424,73,17,1,5,12,0,0,1,0
6870039,48,0,1,0,13,0,0,1,0
7617286,32,9,1,9,14,1,0,1,0
2442178,34,15,0,10,13,0,0,1,1
4041403,47,19,1,13,14,1,0,1,1
782725,60,8,1,7,14,0,0,1,0
8463555,69,12,1,12,12,0,0,1,0
2716181,76,8,1,8,11,0,0,1,0
870622,48,9,1,9,13,1,0,1,1
8008800,36,16,1,14,13,0,0,1,0
2010564,71,16,1,3,12,1,0,1,0
2276484,31,19,0,7,14,1,0,1,0
9437993,77,11,1,11,14,0,1,0,0
1632386,43,20,1,11,14,0,0,1,1
64404,45,18,0,3,14,0,0,1,0
8314069,31,17,1,8,14,0,0,1,1
6940796,46,17,1,9,11,0,0,1,0
335570,73,13,1,3,12,1,0,1,0
74741,59,14,1,6,11,1,0,1,1
7736891,30,12,1,10,14,1,0,1,0
9355388,65,16,1,12,14,1,0,1,0
8506975,59,2,1,2,14,0,0,1,0
670260,70,16,1,14,14,0,0,1,1
9766082,28,9,1,3,14,0,0,1,1
3929663,50,5,1,5,12,0,0,1,0
5539704,68,16,1,8,12,1,0,1,0
4228148,29,9,0,6,11,0,0,1,1
1821163,44,10,1,10,10,0,0,1,0
5022180,57,2,1,2,11,0,0,1,1
2041208,63,6,1,6,12,0,0,1,0
7731278,33,12,0,11,13,0,0,1,0
5709792,74,4,1,4,11,0,0,0,0
4254015,73,8,1,8,12,0,0,1,1
1327933,79,5,1,5,13,0,0,1,1
1680165,67,2,1,2,11,0,0,1,0
8165921,51,20,1,11,14,0,0,1,0
4910728,44,3,0,3,12,0,0,1,0
7524377,76,19,1,5,13,0,0,1,0
1543486,44,7,1,5,13,0,0,1,1
5368952,76,11,1,6,13,0,0,1,0
2635606,59,8,1,4,12,0,0,1,0
7509186,62,12,1,4,12,0,0,1,0
7665233,79,10,1,3,12,0,0,1,1
7433875,32,12,1,11,10,1,0,1,0
3183557,49,10,1,10,10,1,0,1,0
9693465,74,9,1,5,12,0,0,1,0
397279,50,2,1,2,12,0,0,1,1
4627494,55,14,1,7,11,0,0,1,1
2467224,35,3,1,3,11,0,0,1,1
4400395,70,1,1,1,12,0,0,1,0
9412724,57,0,1,0,14,0,0,1,0
6440066,74,15,1,8,11,0,0,1,0
7002284,34,15,1,3,14,1,0,1,1
407393,73,16,1,10,12,0,0,1,0
8098496,77,15,1,11,10,0,0,1,1
8236972,21,7,1,4,13,0,0,1,1
7862365,49,11,1,8,12,0,0,1,0
2607516,76,5,1,5,11,1,0,1,1
8939486,35,8,1,8,14,1,0,1,0
7626369,73,1,1,1,11,0,0,1,1
96682,52,16,0,11,12,0,0,1,0
208537,33,6,0,6,12,0,0,1,1
3125348,79,17,1,9,13,0,0,1,0
1298318,30,1,1,1,12,1,0,1,1
6317029,44,9,1,9,13,0,0,1,1
913618,46,14,1,11,12,0,0,1,0
5712077,21,0,1,0,12,0,0,1,1
997838,62,5,1,3,13,0,0,1,0
6694786,69,17,1,11,11,0,0,0,1
4496905,54,11,1,11,11,0,0,0,0
9879780,54,17,1,13,14,1,0,1,1
5922769,29,7,1,7,11,0,0,1,1
5712077,21,0,1,0,12,0,0,1,1
1586361,51,14,1,5,14,0,0,1,0
9760650,79,16,0,4,12,1,0,1,0
5005660,23,1,1,1,14,0,0,1,0
2837107,70,3,1,3,11,0,0,1,1
9768584,52,14,0,11,10,1,0,1,1
2903002,32,13,1,12,10,0,0,1,1
469269,65,7,1,3,12,0,0,1,1
413811,78,6,1,6,11,1,0,1,0
3750106,77,11,1,11,11,0,0,1,0
3169625,33,6,1,6,14,0,0,1,0
9978516,51,5,1,5,14,0,0,1,0
7793212,27,19,1,13,11,0,0,1,0
9585696,42,13,1,3,12,1,0,1,0
2162609,42,0,1,0,12,0,0,1,1
9559020,36,12,1,12,10,1,0,1,1
5269140,26,9,1,3,13,0,0,1,0
9148752,56,11,1,6,10,1,0,1,0
7571977,75,5,1,5,13,1,0,1,0
2604480,26,16,1,9,12,0,0,1,0
4879862,75,2,1,2,12,0,1,0,0
1147932,32,20,1,3,14,0,0,1,0
3362435,38,16,1,3,13,1,0,1,0
3424035,24,2,1,2,14,0,0,1,1
7872203,73,16,1,11,11,0,0,1,1
6516370,34,0,1,0,13,0,0,1,0
7555360,57,4,1,4,10,0,0,1,0
7908068,23,1,1,1,10,0,0,1,0
1714140,27,10,1,10,10,1,0,1,1
6357063,50,20,1,12,13,0,0,1,0
4110754,36,4,1,4,13,0,0,1,0
9758182,33,9,1,7,11,0,0,1,0
5209719,72,4,1,4,12,0,0,1,1
9398593,25,6,1,6,12,0,0,1,0
1988524,50,6,1,6,13,0,0,1,1
6044566,37,5,1,4,11,0,0,1,0
6996011,76,13,1,13,14,0,0,1,1
1989746,43,12,1,4,14,1,0,1,0
2180261,78,1,1,1,12,1,0,1,0
7049295,53,10,1,8,10,1,0,1,1
1178782,69,15,1,5,13,0,0,1,0
3259749,45,19,1,6,13,0,0,1,0
9488176,30,7,1,7,11,0,0,1,0
988540,65,14,1,13,11,0,0,1,0
2397672,70,6,1,6,11,0,0,1,1
5680109,47,20,1,5,14,0,0,1,0
7542319,74,18,1,13,13,0,0,1,1
2436593,54,19,1,6,13,0,0,1,0
1392884,29,11,1,5,14,1,0,1,0
6925358,73,19,1,3,12,0,0,1,0
7508587,58,13,1,13,11,0,0,1,0
5837691,65,14,1,10,11,1,0,1,0
8854489,36,18,1,13,14,0,0,1,1
8936935,36,0,1,0,14,0,0,1,1
6108808,76,16,0,3,12,0,0,1,0
5467538,32,19,1,13,12,1,0,1,0
9111852,24,6,1,6,11,1,0,1,0
5714975,41,10,1,10,14,1,0,1,0
2881888,61,4,1,4,14,1,0,1,1
2688331,68,16,1,8,11,0,0,1,0
2926425,21,5,1,3,10,1,0,1,0
1325345,66,8,1,8,14,0,0,1,1
1975710,42,3,1,3,11,1,0,1,0
8654497,79,4,1,4,13,0,0,1,0
4916345,73,8,1,8,12,1,0,1,1
166480,36,8,1,8,11,1,0,1,1
1000979,41,19,1,5,13,1,0,1,0
1165669,76,8,1,8,12,1,0,1,0
3749859,53,8,1,6,10,0,0,1,1
5809456,72,16,1,4,10,1,0,1,0
271769,55,14,1,6,12,1,0,1,1
2984988,70,7,1,7,13,1,0,1,0
3700179,75,15,1,10,11,0,0,1,1
676370,69,11,1,11,12,1,0,1,0
5830137,50,8,0,4,10,0,0,1,0
8177616,33,9,1,9,13,0,0,1,1
9073203,71,13,1,9,10,0,0,1,1
9335602,49,17,1,8,11,0,0,1,0
4945087,50,16,1,14,10,0,1,0,0
5112098,77,11,1,11,11,0,0,1,1
5647261,64,10,1,10,10,0,0,1,1
6406820,54,5,1,3,14,1,0,1,0
2132300,53,2,1,2,12,1,0,1,0
1572647,34,9,1,9,10,1,0,0,0
8597260,56,20,1,6,14,1,0,1,1
9368826,22,4,1,4,13,0,0,1,0
8153385,75,20,1,3,12,1,1,0,0
5468664,30,2,1,2,14,0,0,1,1
9013930,25,5,1,5,10,0,0,1,0
1695214,44,9,1,8,10,1,0,1,1
5190184,39,16,1,13,12,0,0,1,1
2936833,57,9,1,9,13,1,0,1,1
3457683,67,18,1,13,12,0,0,1,0
5250888,30,10,1,10,13,0,0,1,1
7273604,27,9,1,9,14,1,0,1,0
5301870,50,9,1,4,11,0,0,1,0
5238649,42,10,1,4,11,1,1,0,0
8753453,52,14,1,7,11,0,0,1,1
347120,47,4,1,4,11,1,0,1,1
9446738,55,2,1,2,10,0,0,1,0
2206541,52,10,1,10,10,0,1,0,1
1652825,65,0,1,0,14,0,0,1,0
2453112,34,6,1,6,14,0,0,1,1
927040,72,0,1,0,13,1,1,0,1
228774,60,10,1,6,12,1,0,1,0
2773533,26,6,1,3,12,0,0,1,0
4499377,48,11,1,11,12,0,0,1,1
1659986,43,11,1,11,11,0,0,0,0
4915233,76,5,1,3,11,0,0,1,0
6222541,45,19,1,11,12,0,0,0,1
9731801,72,3,1,3,12,0,1,0,1
2267970,64,5,1,5,10,0,0,1,0
1647748,78,6,0,6,12,1,0,1,0
6029688,76,16,1,14,13,1,1,0,0
2959223,43,2,1,2,12,0,0,1,0
8693161,53,5,0,3,10,1,0,1,0
8057748,46,6,1,4,11,1,0,1,1
3640092,65,2,1,2,12,1,0,1,1
8941539,38,15,1,9,11,0,1,0,0
3933458,23,15,1,8,13,0,0,1,0
6133734,25,17,1,4,13,0,0,1,0
8005608,65,8,1,8,12,0,0,1,1
4112102,46,15,1,5,13,0,0,1,1
8791008,31,20,1,9,11,0,0,1,0
2615443,61,11,1,11,12,1,0,1,0
7779633,57,10,1,10,13,0,0,1,0
233888,64,1,1,1,10,0,0,1,1
2522107,30,5,1,5,13,0,0,1,0
9292764,47,0,1,0,12,0,1,0,0
7773112,25,2,1,2,11,1,0,1,1
1356494,68,5,1,5,12,0,0,1,0
3117744,55,18,1,7,12,0,0,1,0
901466,45,15,1,8,13,1,0,1,1
2561886,41,6,1,5,14,1,0,1,1
5085906,33,18,0,10,12,0,0,1,0
9264415,51,10,1,10,11,1,0,1,0
2616191,79,14,1,8,13,1,0,1,0
7363274,70,9,0,5,14,0,0,1,0
3298975,49,8,1,8,12,1,0,1,1
2278568,25,4,1,4,12,0,0,1,1
5129206,59,8,1,3,12,0,0,1,1
4768378,25,17,1,10,10,0,0,1,1
3026361,37,18,1,13,10,1,1,0,0
7433875,32,12,1,11,10,1,0,1,1
6379086,72,11,0,11,12,1,0,1,0
5683730,47,8,1,7,14,0,0,0,0
1398424,72,4,1,4,12,0,0,1,0
5055461,41,11,1,10,12,0,0,1,0
5629582,53,9,1,7,11,1,0,1,0
3959820,78,9,0,9,10,0,0,1,1
3929663,50,5,1,5,12,0,0,1,0
8171432,69,8,1,6,10,1,1,0,0
6403083,67,2,1,2,12,1,0,1,0
3426695,73,4,1,4,14,0,0,1,0
9070646,27,13,1,13,13,1,0,1,0
6926537,59,18,1,6,13,0,0,1,0
1514602,71,6,1,6,13,0,0,1,1
3480114,40,9,1,9,12,1,0,1,0
7171645,31,10,0,5,14,0,0,1,1
4726953,61,14,1,14,14,0,0,1,0
5823407,68,8,1,8,14,0,0,1,1
8727386,46,9,1,5,10,0,0,1,1
722602,60,19,1,9,14,0,0,1,0
7174091,59,11,1,11,10,0,0,1,0
6172343,26,17,1,11,11,1,0,1,1
3432589,38,20,1,5,12,0,0,1,1
4609641,26,17,1,9,10,0,0,1,1
6062192,21,9,0,7,13,0,0,1,0
1589605,46,13,1,9,10,0,0,1,0
6474794,47,7,1,5,14,1,0,1,0
8453618,47,4,1,4,12,0,0,1,1
11114,73,19,1,4,14,0,0,1,1
6851175,23,14,1,8,14,1,0,1,0
8897257,65,12,1,5,14,0,0,1,0
6564624,56,12,1,12,14,0,0,1,0
6820376,31,20,1,10,10,0,0,1,0
612456,54,16,1,9,11,0,0,1,1
4292910,70,2,0,2,14,0,1,0,0
4733565,41,19,1,8,13,0,0,1,0
2166095,56,1,1,1,10,0,0,1,1
7970733,26,7,1,7,13,1,0,1,1
1927409,73,15,0,4,12,0,0,1,0
2649521,69,14,1,7,12,0,0,1,0
2805867,36,13,1,8,12,0,0,1,0
9169614,79,20,1,6,13,0,0,1,0
7338543,34,9,1,3,12,0,0,1,0
2018665,47,11,1,11,10,0,0,1,1
9086314,74,1,1,1,12,0,0,1,1
8653449,66,0,1,0,13,0,0,1,1
1406166,56,8,1,8,13,1,0,1,0
9215889,37,15,1,9,13,0,0,1,0
3754105,58,19,1,4,13,1,0,1,1
8706962,63,13,1,12,14,1,0,1,1
3528671,72,2,1,2,10,0,0,1,0
1650871,37,1,1,1,11,0,0,1,0
974413,35,1,1,1,14,0,0,1,1
2062048,50,3,1,3,11,1,0,1,1
5608295,31,4,1,4,13,1,0,1,1
1192674,43,13,1,8,14,0,0,1,0
5773747,74,19,1,14,13,0,0,1,0
6083984,45,15,1,3,12,0,0,1,1
6386403,31,10,1,10,14,0,0,1,0
5865272,61,18,1,9,11,0,0,1,0
9389261,60,16,1,10,10,0,0,1,1
4510519,73,3,1,3,10,1,1,0,1
8703835,21,11,1,11,12,1,0,1,1
2267024,35,14,1,8,14,0,0,1,0
8369802,43,7,1,6,13,0,0,1,0
4806237,79,10,0,4,11,0,0,1,1
9218490,63,12,1,10,13,1,0,1,1
557674,62,18,1,5,14,0,0,1,0
70426,43,20,1,11,12,0,1,0,0
4510519,73,3,1,3,10,1,1,0,0
7347926,66,7,1,6,12,0,0,1,1
5697725,46,0,1,0,11,0,0,1,0
9047999,50,1,1,1,14,0,0,0,0
8818531,55,20,1,13,10,0,0,1,0
5448587,39,1,1,1,13,0,0,1,0
2261031,41,16,1,7,10,1,0,1,1
3209693,70,8,1,5,13,0,1,0,0
3429989,76,18,0,12,10,0,0,1,1
1692032,78,14,1,12,13,0,0,1,0
6415677,68,2,1,2,12,0,0,1,0
5559747,64,9,1,9,10,1,0,1,0
5254986,48,6,1,6,14,0,0,1,0
5161711,52,0,0,0,12,0,0,1,0
1112644,23,16,1,6,10,1,0,1,0
7151649,34,7,1,7,12,0,1,0,1
9237595,53,6,1,5,11,0,0,1,0
8688804,34,12,1,7,11,0,0,1,0
7887547,32,10,1,10,12,1,0,1,0
689443,40,11,1,4,11,1,0,1,0
2359728,66,14,1,3,14,0,0,1,0
960205,66,16,1,7,11,0,0,1,1
1330107,61,13,1,11,12,0,0,1,1
2060668,67,8,1,3,13,1,0,1,0
4013096,79,14,1,8,11,1,0,1,1
371671,34,6,1,6,12,0,0,1,0
9674252,41,7,1,6,13,1,0,1,0
1661569,32,12,1,5,13,0,0,1,1
4236914,47,15,0,10,11,1,0,1,1
6513239,77,4,1,4,10,1,0,1,0
9867211,56,2,1,2,14,0,0,1,1
3957826,78,13,1,11,11,0,0,1,1
996748,64,3,1,3,13,0,0,1,0
3423478,76,9,1,4,10,0,0,1,0
6875625,77,7,0,7,11,0,0,1,1
1315106,62,5,1,5,12,0,0,1,1
980080,50,11,1,11,11,0,0,1,0
5493176,32,17,1,8,12,0,0,1,0
5822214,26,12,1,4,13,0,0,1,1
1847709,44,3,1,3,12,1,0,1,1
9246446,75,12,1,12,12,0,0,1,0
2317886,39,15,1,3,13,1,0,1,0
6036833,25,11,1,11,12,0,0,1,0
7505547,48,5,1,5,10,0,0,1,0
8070251,38,6,1,4,12,0,0,1,1
6814983,51,18,1,14,11,0,0,1,0
5873870,35,17,1,11,11,0,0,1,0
8578286,47,17,1,10,14,1,0,1,0
6050608,70,0,1,0,14,1,0,1,1
9192811,28,2,1,2,12,1,0,0,0
3745099,27,10,1,10,11,0,0,1,1
5165629,61,0,1,0,12,0,0,1,1
942417,49,15,1,8,13,0,0,1,0
9137580,21,7,1,7,12,0,0,1,0
4032575,50,8,1,8,11,0,0,1,1
9334042,52,10,1,5,11,1,0,1,0
9634081,31,3,1,3,13,0,0,1,1
6851692,76,0,1,0,12,1,0,1,1
513680,62,2,1,2,12,0,0,1,0
2149916,73,5,1,5,13,1,0,1,0
279241,41,0,1,0,14,1,0,1,1
7037465,60,0,1,0,14,0,0,1,0
5036132,21,8,1,7,12,0,0,1,0
4516990,69,9,1,9,11,0,0,1,1
1906452,44,5,0,3,12,0,0,0,1
2615443,61,11,1,11,12,1,0,1,0
4844257,38,11,1,4,14,1,0,1,0
2213823,73,4,1,4,13,0,0,1,0
7503751,27,17,1,8,14,0,0,1,1
7458144,26,13,1,7,11,1,0,1,1
10675,23,1,1,1,14,1,0,1,1
4043791,48,18,1,13,14,1,0,1,0
5277688,55,14,1,5,10,1,0,1,0
3078173,59,12,1,9,10,1,0,1,0
5462289,64,1,1,1,14,0,0,1,0
3290571,50,11,1,5,11,0,0,1,0
1303701,34,20,1,3,13,0,0,1,1
7465121,37,2,1,2,12,1,0,1,0
2309662,64,12,1,10,11,0,1,0,1
2768668,69,11,1,7,11,1,0,1,0
981617,47,9,1,9,12,0,0,1,0
4187964,78,2,1,2,10,1,0,1,1
4147391,41,4,1,4,10,0,0,1,0
5510769,41,19,1,8,12,1,0,1,1
7896776,26,12,1,9,14,0,0,1,0
7262654,49,7,1,7,10,1,0,1,1
7060043,79,17,1,13,12,0,0,1,1
8802134,69,5,1,5,10,1,0,1,0
2625246,30,19,1,7,12,1,0,1,0
1514337,58,8,1,8,13,1,0,1,0
7828196,62,20,1,4,11,1,0,1,1
6096251,51,8,1,8,12,0,0,1,0
64822,33,9,1,9,11,1,0,1,1
4544686,62,8,1,5,13,0,0,0,1
5663883,37,4,1,4,11,0,0,1,1
7309813,57,3,1,3,10,0,0,1,0
2659426,43,15,1,8,14,0,0,1,0
3682210,29,3,1,3,14,0,0,1,0
6831818,21,0,1,0,13,0,0,1,0
8729941,33,20,1,11,11,0,0,1,0
4536448,43,18,1,6,14,0,0,0,1
1581300,50,6,1,6,14,0,0,1,0
5697835,55,14,1,6,14,0,1,0,0
3607368,27,19,1,13,11,1,0,1,1
1429614,73,6,1,6,14,1,0,1,0
3685028,32,13,1,6,11,0,0,1,1
7577101,38,12,1,10,13,0,0,1,0
7829826,58,6,1,6,11,1,0,1,0
9532596,50,12,1,10,10,0,0,1,0
6360884,65,8,1,5,11,1,0,1,0
8008800,36,16,1,14,13,0,0,1,0
9985964,28,8,0,8,13,0,0,1,1
1316994,50,4,1,3,13,0,0,1,1
4281870,53,1,0,1,12,0,0,1,0
9334500,64,6,1,4,13,0,0,1,1
6104309,30,3,1,3,12,0,0,1,0
1999104,25,12,1,11,14,1,0,1,1
1169819,72,18,1,11,10,1,0,1,0
4399912,29,9,1,9,10,0,0,1,1
1368157,50,3,1,3,12,0,0,1,0
2543132,59,8,1,8,10,0,0,1,0
533359,50,7,1,6,11,0,0,1,1
3453372,47,2,1,2,10,0,0,1,1
74741,59,14,1,6,11,1,0,1,1
3072232,53,5,1,5,13,1,0,1,0
